Time_Relative,Overdoses_Per_Capita
-7,0.005672335231372108
-6,0.005739509239160305
-5,0.006046460950697022
-4,0.006604975107764663
-3,0.006765118594879445
-2,0.006995798848410951
-1,0.0071376760213637674
0,0.007194870281334788
1,0.007036390906177777
2,0.0061568932902750124
3,0.006031443112850504
4,0.0062784982090858515
5,0.007261510828661039
