County_Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
AL-1003,6.591653648150711e-05,0.00011496234983043054,8.611992815137423e-05,6.527570082366066e-05,0.00013887683360819372,0.00010782466574353619,0.0001612203827038326,0.00013106732491589848,0.00012328605581106143,0.00012621946409319205,0.00010262462477871565,0.00016065628090750718,0.00019710356313966265
AL-1009,0.0,0.0,0.0,0.0,0.0,0.00025954251306363983,0.0,0.0,0.0,0.0002605071205279611,0.00017355386244120863,0.00019121788408719536,0.00019121788408719536
AL-1015,0.0,0.0,0.0,0.0,9.751081483582725e-05,0.00014988273879846942,0.00010518841875509506,0.00016046213093709883,0.00010191602119853241,0.0,0.0,0.00016391038415417927,0.00017320666152820238
AL-1021,0.0,0.0,0.0,0.00031084861672365556,0.0,0.0,0.0,0.0002290793301720386,0.0,0.0,0.0,0.0,0.0
AL-1043,0.0,0.0,0.0,0.0,0.0,0.00012267229323584974,0.0,0.0,0.00012436264146250465,0.00014947869305796037,0.00019828975089850043,0.0003330537326688706,0.00013453847188757477
AL-1049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015413718209206193,0.0002114343707713126,0.00028203971119133574,0.0,0.00023914358462166077
AL-1053,0.0,0.0,0.0,0.0,0.0,0.0,0.0002671368274830368,0.0,0.0,0.0,0.0003177545346220045,0.00026500596263415925,0.0
AL-1055,0.0,0.0,0.0,0.0,0.0,0.00015468651810315658,0.00013507646292633507,0.0,0.00013413944753710392,0.0,0.0001828963074198144,0.0001644116480817029,0.00021359638051224295
AL-1059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031692707508002406,0.0,0.0
AL-1069,0.0,0.0,0.0,0.0,0.00010267783801544274,0.00012139359851090519,9.991507218863965e-05,0.00012770388416275368,0.00011708687846382016,0.0,0.00016402458439064867,0.0001152095854375084,9.59140610013428e-05
AL-1071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002072382674880838,0.0,0.0,0.0
AL-1073,5.601935544432433e-05,6.3634820974037e-05,6.214804877863927e-05,8.315103099719251e-05,0.00010128848017391384,9.496618902190854e-05,0.00013533285114739703,8.052080247335598e-05,0.00011092387431261387,9.877503757250468e-05,0.00012893146155187974,0.0002545562539016807,0.0002331725855660113
AL-1077,0.0,0.0,0.0,0.0,0.00018074602923567022,0.00017937219730941703,0.0,0.00010783182548497364,0.00012957983737730408,0.0,0.0,0.0,0.0
